Custos médios e índices, segundo as áreas geográficas
 Unidade Geográfica;Custo médio m² - moeda corrente-Reais;Custo médio m² - número-índice-Número-índice;Custo médio m² - variação percentual em doze meses-%;Custo médio m² - variação percentual no ano-%;Custo médio m² - variação percentual no mês-%
Acre;2285.4;1212.97;9.96;7.32;0.19
Alagoas;1806.36;902.25;9.24;4.97;0.79
Amapá;2014.97;978.75;7.88;5.24;1.14
Amazonas;1942.1;950.59;5.66;2.63;0.65
Bahia;1863.94;986.64;8.76;7.07;0.55
Brasil;1976.37;989.23;7.26;4.48;1.19
Ceará;1878.43;1085.11;9.63;5;2.52
Centro-Oeste;1984.87;1013.09;7.62;3.79;0.91
Distrito Federal;1999.01;883.16;5.78;3.78;0.82
Espírito Santo;1781.01;988.29;5.49;4.2;1.11
Goiás;1958.33;1034.56;7.1;5.57;1.56
Maranhão;1960.01;1032.69;9.41;7.11;1.24
Mato Grosso;2058.88;1174.31;10.04;2.83;0.53
Mato Grosso do Sul;1873.86;881.64;6.68;2.2;0.46
Minas Gerais;1857.18;1022.15;7.01;2.52;0.44
Nordeste;1861.67;1006.03;8.55;5.97;1.45
Norte;2012.38;1002.76;6.08;3.55;0.58
Paraná;2106.43;1007.16;7.03;3.32;0.39
Paraíba;1914.28;1058.65;9.39;3.76;0.34
Pará;1965.27;942.29;5.15;2.9;0.09
Pernambuco;1778.03;950.25;6.69;5.75;2.98
Piauí;1860.94;1237.09;6.55;5.3;0.41
Rio Grande do Norte;1857.38;936.39;7.79;6.17;2.12
Rio Grande do Sul;1923.85;872.79;5.91;2.46;0.65
Rio de Janeiro;2163.9;986.23;7.24;4.51;0.1
Rondônia;2179.24;1215.49;6.46;4.56;2.63
Roraima;2117.84;879.46;4.77;2;0.14
Santa Catarina;2239.56;1212.5;6.92;4.67;1.81
Sergipe;1744.67;926.89;7.6;4.23;0.96
Sudeste;2022.59;968.31;6.68;4.11;1.33
Sul;2091.54;1000.42;6.74;3.48;0.86
São Paulo;2084.92;941.37;6.36;4.8;2.34
Tocantins;2038.13;1071.7;7.33;4.54;1.24

Fonte: "IBGE - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil"
