,,,,,,,,
"Tabela 9b - Proporção de pessoas das famílias residentes, IPM-CR e contribuição para o total dos efeitos marginais no IPM-CR, por tipo de dimensão, segundo as Unidades da Federação - período 2017-2018",,,,,,,,
,,,,,,,,
Unidades da Federação,Proporção de pessoas das famílias residentes (%),IPM-CR,"Contribuição para o total dos efeitos marginais no IPM-CR, por tipo de dimensão (%)",,,,,
,,,Moradia,Acesso aos serviços de utilidade pública,Saúde e alimentação,Educação,Acesso a serviços financeiros e padrão de vida,Transporte e lazer
       Brasil,"100,0","12,0","15,4","14,4","14,4","19,1","19,3","17,3"
Rondônia,"0,8","15,0","13,3","25,9","9,2","18,6","16,7","16,3"
Acre,"0,4","19,8","15,0","20,0","14,5","17,8","16,9","15,7"
Amazonas,"1,9","17,5","16,4","17,7","14,0","15,8","19,9","16,1"
Roraima,"0,2","13,0","18,3","19,7","10,4","17,8","19,6","14,1"
Pará,"4,1","20,2","14,8","19,8","15,1","16,8","19,4","14,1"
Amapá,"0,4","18,2","16,1","22,5","14,6","15,4","17,1","14,3"
Tocantins,"0,7","14,5","15,5","16,1","12,4","17,9","20,2","18,0"
Maranhão,"3,4","22,0","15,0","18,1","15,7","17,6","19,3","14,4"
Piauí,"1,6","17,1","14,3","19,4","10,3","19,5","20,0","16,5"
Ceará,"4,4","14,7","15,5","16,1","13,3","20,0","21,5","13,4"
Rio Grande do Norte,"1,7","16,3","14,6","16,6","16,5","19,5","19,0","13,8"
Paraíba,"1,9","16,6","14,6","16,9","13,5","19,5","20,1","15,5"
Pernambuco,"4,5","16,4","15,2","17,6","15,3","17,7","19,5","14,6"
Alagoas,"1,6","17,6","15,1","18,3","14,9","19,5","20,3","11,9"
Sergipe,"1,1","14,5","14,9","13,9","16,0","20,0","20,3","15,0"
Bahia,"7,1","15,9","13,4","15,8","15,1","18,7","20,0","16,9"
Minas Gerais,"10,1","10,0","14,1","10,2","13,7","21,9","20,9","19,2"
Espírito Santo,"1,9","10,2","16,6","12,4","13,1","20,0","20,5","17,4"
Rio de Janeiro,"8,3","11,2","18,0","11,9","13,5","17,2","19,1","20,2"
São Paulo,"21,9","7,9","17,1","6,3","15,4","20,4","18,7","22,1"
Paraná,"5,5","7,8","15,7","12,8","11,2","22,6","19,9","17,6"
Santa Catarina,"3,4","6,7","15,1","17,3","11,5","23,8","17,6","14,7"
Rio Grande do Sul,"5,4","9,0","16,6","14,2","17,7","20,2","16,2","15,1"
Mato Grosso do Sul,"1,3","11,2","15,1","13,8","12,9","20,4","20,5","17,3"
Mato Grosso,"1,6","12,6","14,3","18,6","10,6","18,5","17,7","20,3"
Goiás,"3,3","12,6","14,5","15,4","14,1","17,6","16,8","21,7"
Distrito Federal,"1,4","10,1","14,4","13,2","18,3","15,5","15,8","22,6"
"Fonte: IBGE, Diretoria de Pesquisas,Coordenação de Pesquisas por Amostra de Domicílios, Pesquisa de Orçamentos Familiares 2017-2018.",,,,,,,,
Nota: IPM-CR - Índice de Pobreza Multidimensional com Componente Relativo.,,,,,,,,
